title,imdb_rating
Judah Friedlander: America Is the Greatest Country in the United States,7.8
Awe!,7.8
Badla,7.8
Jim Gaffigan: King Baby,7.8
The Pixar Story,7.8
The Show Must Go On: The Queen + Adam Lambert Story,7.8
Udta Punjab,7.8
About Time,7.8
Jim Gaffigan: Mr. Universe,7.8
Kabhi Haan Kabhi Naa,7.8
Secret Superstar,7.8
Anthony Jeselnik: Thoughts and Prayers,7.8
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",7.8
Gangaajal,7.8
Aziz Ansari: Right Now,7.8
Seven Sundays,7.8
Justin Timberlake + The Tennessee Kids,7.8
Bonnie and Clyde,7.8
Todo lo que sería Lucas Lauriente,7.8
What's Eating Gilbert Grape,7.8
Blanche Gardin: I Talk to Myself,7.8
The Gospel of John,7.8
Hamid,7.8
Vir Das: For India,7.8
Surga yang Tak Dirindukan,7.8
89,7.8
Marco Polo: One Hundred Eyes,7.8
System Crasher,7.8
Jim Jefferies: Freedumb,7.8
Lal Pathar,7.8
2215,7.8
You Are My Sunday,7.8
The Trial of the Chicago 7,7.8
The Hateful Eight,7.8
Saladin the Victorious,7.8
The Girl with the Dragon Tattoo,7.8
Berserk: The Golden Age Arc II - The Battle for Doldrey,7.8
Let It Fall: Los Angeles 1982-1992,7.8
Bhai - Vyakti Ki Valli 2 Uttarardha,7.8
Minnaminungu The Firefly,7.8
In This Corner of the World,7.8
Derren Brown: Miracles for Sale,7.8
BlackRose,7.8
Betty White: First Lady of Television,7.8
Dhh,7.8
Ser Tão Velho Cerrado,7.7
HiGH&LOW The Movie 3: Final Mission,7.7
Operation Odessa,7.7
Madras Cafe,7.7
Bert Kreischer: The Machine,7.7
Kung Fu Hustle,7.7
Agneepath,7.7
Road to Roma,7.7
Sir,7.7
The Theory of Everything,7.7
Inuyasha the Movie 3: Swords of an Honorable Ruler,7.7
Undefeated,7.7
The Meaning of Monty Python,7.7
The Social Network,7.7
The Bleeding Edge,7.7
One Day,7.7
Kai Po Che!,7.7
Training Day,7.7
Katt Williams: The Pimp Chronicles Pt. 1,7.7
Kannum Kannum Kollaiyadithaal,7.7
Budhia Singh: Born to Run,7.7
Iyore,7.7
Mike Birbiglia: The New One,7.7
Kevin Hart: I'm a Grown Little Man,7.7
Cake,7.7
Walt Disney Animation Studios Short Films Collection,7.7
The 36th Chamber of Shaolin,7.7
Last Breath,7.7
Aamir,7.7
Invisible Essence: The Little Prince,7.7
Kapoor & Sons,7.7
Mumbai Meri Jaan,7.7
Enter the Dragon,7.7
Bending the Arc,7.7
Brothers,7.7
Islands of Faith,7.7
Eddie Murphy Raw,7.7
I See You,7.7
Guru,7.7
Sur Sapata,7.7
Beasts of No Nation,7.7
Human Nature,7.7
Lupin the Third: The Castle of Cagliostro,7.7
"Isa Pa, with Feelings",7.7
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.7
Oye Lucky! Lucky Oye!,7.7
Fire in the Blood,7.7
Rock On!!,7.7
Roma,7.7
Nacido en Siria,7.7
Oprah Winfrey Presents: When They See Us Now,7.7
Kartini: Princess of Java,7.7
Heaven Without People,7.7
Sanju,7.7
The Butterfly's Dream,7.7
Ayana,7.7
The Little Prince,7.7
Monty Python Live (Mostly),7.7
West Beirut,7.7
Qlimax - The Source,7.6
Jim Gaffigan: Obsessed,7.6
Fate of Alakada,7.6
Elena,7.6
Monty Python: The Meaning of Live,7.6
Do Dooni Chaar,7.6
Kuch Kuch Hota Hai,7.6
Tom Segura: Mostly Stories,7.6
It's Fine,7.6
The Naked Gun: From the Files of Police Squad!,7.6
A Sun,7.6
"Colin Quinn: Red State, Blue State",7.6
Njan Prakashan,7.6
Who Am I,7.6
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.6
On Body and Soul,7.6
The Florida Project,7.6
The Sky Is Pink,7.6
Franca: Chaos and Creation,7.6
Superbad,7.6
The Two Popes,7.6
Spitfire,7.6
Les Misérables,7.6
Wake Up Sid,7.6
Ludo,7.6
In My Country,7.6
